                       Project, Year, Month, Hours, Cost
                        APOLLO, 2021,     4,   0.0, $   0.0
                        APOLLO, 2021,     5,   0.0, $   0.0
                        APOLLO, 2021,     6,   5.5, $ 385.0
                        APOLLO, 2021,     7,  31.5, $2803.5
                        APOLLO, 2021,     8,  10.0, $ 890.0
                        APOLLO, 2021,     9,  20.0, $1780.0
                        APOLLO, 2021,    10,   6.0, $ 534.0
                        APOLLO, 2021,    11,   0.0, $   0.0
                        APOLLO, 2021,    12,   1.0, $  89.0
                        APOLLO, 2022,     1,   2.5, $ 222.5
                        APOLLO, 2022,     2,  21.5, $1913.5
                        APOLLO, 2022,     3,  31.5, $2803.5
                        APOLLO, 2022,     4,   1.0, $  89.0
              SCOTT-LAB-CAMERA, 2021,     1,   0.0, $   0.0
              SCOTT-LAB-CAMERA, 2021,     2,   0.0, $   0.0
              SCOTT-LAB-CAMERA, 2021,     3,   0.0, $   0.0
              SCOTT-LAB-CAMERA, 2021,     4,   0.0, $   0.0
              SCOTT-LAB-CAMERA, 2021,     5,   0.0, $   0.0
              SCOTT-LAB-CAMERA, 2021,     6,   0.0, $   0.0
              SCOTT-LAB-CAMERA, 2021,     7,   0.0, $   0.0
              SCOTT-LAB-CAMERA, 2021,     8,   0.0, $   0.0
              SCOTT-LAB-CAMERA, 2021,     9,   0.0, $   0.0
              SCOTT-LAB-CAMERA, 2021,    10,   0.0, $   0.0
              SCOTT-LAB-CAMERA, 2021,    11,   1.0, $  89.0
              SCOTT-LAB-CAMERA, 2021,    12,   0.0, $   0.0
              SCOTT-LAB-CAMERA, 2022,     1,   0.0, $   0.0
              SCOTT-LAB-CAMERA, 2022,     2,   0.0, $   0.0
              SCOTT-LAB-CAMERA, 2022,     3,   0.0, $   0.0
              SCOTT-LAB-CAMERA, 2022,     4,   0.0, $   0.0
